run_id,dataset,model,method,output_protocol,train_labels,dev_labels,budget_per_class,seed,manifest_sha256,accuracy,balanced_accuracy,failure_rate,input_tokens,input_tokens_coverage,input_tokens_known_total,latency_p50_s,latency_p95_s,macro_f1,n_classes,n_failures,n_probability_rows,n_test,output_tokens,output_tokens_coverage,output_tokens_known_total,prediction_time_s,probability_coverage,valid_response_accuracy,brier_sum,chosen_label_argmax_disagreement_rows,ece_15_equal_width,log_loss,probability_renormalized_rows,zero_true_class_probability_rows,average_precision,roc_auc
ag_news__linear_svc__a23e5c995947,ag_news,linear_svc,classical,classical native,10000,1000,full prepared train,42,4bf4199c04845b8f3dfd30dd7e8ec3e4eaf2617b8defd41d537e3066446172cd,0.905,0.9049999999999999,0.0,,0.0,0,0.0030015195853775366,0.0030015195853775366,0.9043950007609801,4,0,0,200,,0.0,0,0.6003039170755073,0.0,0.905,,,,,,,,
ag_news__linear_svc__bb553fae9f66,ag_news,linear_svc,classical,classical native,16,0,4,42,4bf4199c04845b8f3dfd30dd7e8ec3e4eaf2617b8defd41d537e3066446172cd,0.48,0.48,0.0,,0.0,0,0.0001496014604344964,0.0001496014604344964,0.4731797257623725,4,0,0,200,,0.0,0,0.02992029208689928,0.0,0.48,,,,,,,,
ag_news__logistic_regression__138af83bc1e3,ag_news,logistic_regression,classical,classical native,10000,1000,full prepared train,42,4bf4199c04845b8f3dfd30dd7e8ec3e4eaf2617b8defd41d537e3066446172cd,0.91,0.9099999999999999,0.0,,0.0,0,0.000981289169867523,0.000981289169867523,0.9093589230307276,4,0,200,200,,0.0,0,0.1962578339735046,1.0,0.91,0.16792115621734646,0,0.12722475491601906,0.3498493098736352,68,0,,
ag_news__logistic_regression__f3e487f9ab2a,ag_news,logistic_regression,classical,classical native,16,0,4,42,4bf4199c04845b8f3dfd30dd7e8ec3e4eaf2617b8defd41d537e3066446172cd,0.485,0.485,0.0,,0.0,0,0.0001589668751694262,0.0001589668751694262,0.4781954887218045,4,0,200,200,,0.0,0,0.03179337503388524,1.0,0.485,0.7201206690321572,0,0.2059068096962169,1.3292878876103793,31,0,,
ag_news__majority__52d1c07fc801,ag_news,majority,classical,classical native,10000,1000,full prepared train,42,4bf4199c04845b8f3dfd30dd7e8ec3e4eaf2617b8defd41d537e3066446172cd,0.25,0.25,0.0,,0.0,0,1.0979536455124617e-07,1.0979536455124617e-07,0.1,4,0,200,200,,0.0,0,2.1959072910249233e-05,1.0,0.25,1.5,0,0.75,25.90408229618302,0,150,,
ag_news__majority__a8a0d0ea7ac8,ag_news,majority,classical,classical native,16,0,4,42,4bf4199c04845b8f3dfd30dd7e8ec3e4eaf2617b8defd41d537e3066446172cd,0.25,0.25,0.0,,0.0,0,1.4587497571483255e-06,1.4587497571483255e-06,0.1,4,0,200,200,,0.0,0,0.0002917499514296651,1.0,0.25,1.5,0,0.75,25.90408229618302,0,150,,
ag_news__multinomial_nb__2822ae8d78ea,ag_news,multinomial_nb,classical,classical native,16,0,4,42,4bf4199c04845b8f3dfd30dd7e8ec3e4eaf2617b8defd41d537e3066446172cd,0.47,0.47,0.0,,0.0,0,0.00016088874952401965,0.00016088874952401965,0.4640168970814132,4,0,200,200,,0.0,0,0.03217774990480393,1.0,0.47,0.7053888661824359,0,0.17522531627364502,1.3027350726920008,198,0,,
ag_news__multinomial_nb__c27fb667c2c5,ag_news,multinomial_nb,classical,classical native,10000,1000,full prepared train,42,4bf4199c04845b8f3dfd30dd7e8ec3e4eaf2617b8defd41d537e3066446172cd,0.915,0.9149999999999999,0.0,,0.0,0,0.0011471822898602114,0.0011471822898602114,0.9146317544375797,4,0,200,200,,0.0,0,0.2294364579720423,1.0,0.915,0.14075108830252925,0,0.0619753536278471,0.4012277786974575,198,0,,
banking77__linear_svc__3764b058c93c,banking77,linear_svc,classical,classical native,8995,1000,full prepared train,42,d399802be74f525de389b25c921eb59b941ca439a9e6fb2b7ff33b69e1335061,0.925,0.9264069264069263,0.0,,0.0,0,5.868270993232727e-05,5.868270993232727e-05,0.9238095238095237,77,0,0,200,,0.0,0,0.011736541986465454,0.0,0.925,,,,,,,,
banking77__linear_svc__6b1940bc8028,banking77,linear_svc,classical,classical native,308,0,4,42,d399802be74f525de389b25c921eb59b941ca439a9e6fb2b7ff33b69e1335061,0.545,0.5497835497835497,0.0,,0.0,0,0.0001342364598531276,0.0001342364598531276,0.508286951144094,77,0,0,200,,0.0,0,0.026847291970625516,0.0,0.545,,,,,,,,
banking77__logistic_regression__475793a0cfcb,banking77,logistic_regression,classical,classical native,8995,1000,full prepared train,42,d399802be74f525de389b25c921eb59b941ca439a9e6fb2b7ff33b69e1335061,0.92,0.922077922077922,0.0,,0.0,0,0.00014867021003738044,0.00014867021003738044,0.9158936301793444,77,0,200,200,,0.0,0,0.029734042007476088,1.0,0.92,0.14039632513980446,0,0.08985828218327263,0.3829576207641577,145,0,,
banking77__logistic_regression__9f8fca344d2e,banking77,logistic_regression,classical,classical native,308,0,4,42,d399802be74f525de389b25c921eb59b941ca439a9e6fb2b7ff33b69e1335061,0.56,0.564935064935065,0.0,,0.0,0,0.00021760812494903804,0.00021760812494903804,0.5335807050092763,77,0,200,200,,0.0,0,0.043521624989807606,1.0,0.56,0.9288061925998545,0,0.5099931174568876,3.326075339287274,129,0,,
banking77__majority__17d71238e242,banking77,majority,classical,classical native,308,0,4,42,d399802be74f525de389b25c921eb59b941ca439a9e6fb2b7ff33b69e1335061,0.015,0.012987012987012988,0.0,,0.0,0,3.072915133088827e-06,3.072915133088827e-06,0.00038385260060136905,77,0,200,200,,0.0,0,0.0006145830266177654,1.0,0.015,1.97,0,0.985,34.020694748987104,0,197,,
banking77__majority__3f1cdb7677fd,banking77,majority,classical,classical native,8995,1000,full prepared train,42,d399802be74f525de389b25c921eb59b941ca439a9e6fb2b7ff33b69e1335061,0.015,0.012987012987012988,0.0,,0.0,0,2.627098001539707e-07,2.627098001539707e-07,0.00038385260060136905,77,0,200,200,,0.0,0,5.2541960030794144e-05,1.0,0.015,1.97,0,0.985,34.020694748987104,0,197,,
banking77__multinomial_nb__a1d4030505c7,banking77,multinomial_nb,classical,classical native,8995,1000,full prepared train,42,d399802be74f525de389b25c921eb59b941ca439a9e6fb2b7ff33b69e1335061,0.885,0.8852813852813851,0.0,,0.0,0,0.00019087270949967207,0.00019087270949967207,0.8709029066171924,77,0,200,200,,0.0,0,0.03817454189993441,1.0,0.885,0.17559401982974468,0,0.07532541410065001,0.49535386878028365,197,0,,
banking77__multinomial_nb__ce01e834b93c,banking77,multinomial_nb,classical,classical native,308,0,4,42,d399802be74f525de389b25c921eb59b941ca439a9e6fb2b7ff33b69e1335061,0.53,0.5324675324675324,0.0,,0.0,0,0.0002476041653426364,0.0002476041653426364,0.5016285301999588,77,0,200,200,,0.0,0,0.04952083306852728,1.0,0.53,0.9282397132014982,0,0.4792286528462914,3.326515959401749,197,0,,
imdb__linear_svc__030c7a7bcda5,imdb,linear_svc,classical,classical native,10000,1000,full prepared train,42,c90b127e15682236ab41d36264158fd72cd1ce80036b3a3e5e401f42301b0207,0.91,0.91,0.0,,0.0,0,0.0011580320849316195,0.0011580320849316195,0.90999099909991,2,0,0,200,,0.0,0,0.2316064169863239,0.0,0.91,,,,,,,,
imdb__linear_svc__2ad929b3cc6a,imdb,linear_svc,classical,classical native,8,0,4,42,c90b127e15682236ab41d36264158fd72cd1ce80036b3a3e5e401f42301b0207,0.495,0.495,0.0,,0.0,0,0.0006291997898370028,0.0006291997898370028,0.49498737468436715,2,0,0,200,,0.0,0,0.12583995796740055,0.0,0.495,,,,,,,,
imdb__logistic_regression__1ef646fb8e67,imdb,logistic_regression,classical,classical native,8,0,4,42,c90b127e15682236ab41d36264158fd72cd1ce80036b3a3e5e401f42301b0207,0.495,0.495,0.0,,0.0,0,0.0006103266653371975,0.0006103266653371975,0.49498737468436715,2,0,200,200,,0.0,0,0.1220653330674395,1.0,0.495,0.4986473963254573,0,0.014898504457189876,0.6917941113504895,0,0,0.551113033331021,0.5336
imdb__logistic_regression__94bf6d77405e,imdb,logistic_regression,classical,classical native,10000,1000,full prepared train,42,c90b127e15682236ab41d36264158fd72cd1ce80036b3a3e5e401f42301b0207,0.905,0.905,0.0,,0.0,0,0.00101030771038495,0.00101030771038495,0.9049976249406235,2,0,200,200,,0.0,0,0.20206154207699,1.0,0.905,0.14804653640808635,0,0.06063922202106603,0.25597793523151907,0,0,0.9585461671435871,0.959
imdb__majority__562de0d0de73,imdb,majority,classical,classical native,8,0,4,42,c90b127e15682236ab41d36264158fd72cd1ce80036b3a3e5e401f42301b0207,0.5,0.5,0.0,,0.0,0,1.5728990547358989e-07,1.5728990547358989e-07,0.3333333333333333,2,0,200,200,,0.0,0,3.145798109471798e-05,1.0,0.5,1.0,0,0.5,17.269388197455342,0,100,0.5,0.5
imdb__majority__dc4e8ab26aa0,imdb,majority,classical,classical native,10000,1000,full prepared train,42,c90b127e15682236ab41d36264158fd72cd1ce80036b3a3e5e401f42301b0207,0.5,0.5,0.0,,0.0,0,1.3999990187585353e-07,1.3999990187585353e-07,0.3333333333333333,2,0,200,200,,0.0,0,2.7999980375170704e-05,1.0,0.5,1.0,0,0.5,17.269388197455342,0,100,0.5,0.5
imdb__multinomial_nb__0adf93da38dc,imdb,multinomial_nb,classical,classical native,8,0,4,42,c90b127e15682236ab41d36264158fd72cd1ce80036b3a3e5e401f42301b0207,0.54,0.54,0.0,,0.0,0,0.0006573335401481018,0.0006573335401481018,0.537037037037037,2,0,200,200,,0.0,0,0.13146670802962035,1.0,0.54,0.4972147047772579,0,0.02364103589851601,0.690368226753637,199,0,0.5605872793310998,0.5386
imdb__multinomial_nb__5a5cb96d35ef,imdb,multinomial_nb,classical,classical native,10000,1000,full prepared train,42,c90b127e15682236ab41d36264158fd72cd1ce80036b3a3e5e401f42301b0207,0.845,0.845,0.0,,0.0,0,0.0010410539602162317,0.0010410539602162317,0.8449961249031226,2,0,200,200,,0.0,0,0.20821079204324636,1.0,0.845,0.2261502049352301,0,0.08476996393216732,0.3944920156633161,200,0,0.9233350582964054,0.9281999999999999
sst2__Qwen2.5-0.5B-Instruct__594a827ceab2,sst2,Qwen/Qwen2.5-0.5B-Instruct,zero_shot,closed-label likelihood,0,0,0,42,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0.5,0.5098039215686274,0.0,21084,1.0,21084,0.5992039584671147,1.7553713691188,0.3503118503118503,2,0,200,200,0,1.0,0,154.6643290007487,1.0,0.5,0.5119953906060916,0,0.18491211863099927,0.7051327636511681,22,0,0.779817969356574,0.7543017206882754
