dataset,display_model,method,train_per_class,train_labels,n_test,accuracy,macro_f1,balanced_accuracy,n_failures,log_loss,brier_sum,probability_coverage,run_id,source_path
breast_cancer,Logistic regression,classical_tabular,4,8,114,0.9473684210526315,0.9434523809523809,0.9394038650507697,0,0.15210891183751024,0.0799912447322044,1.0,breast_cancer__native_logistic_regression__55222f2fa251,results/tabular/classical/breast_cancer__native_logistic_regression__55222f2fa251/run.json
breast_cancer,Logistic regression,classical_tabular,,341,114,0.9912280701754386,0.9907067742724383,0.9929577464788732,0,0.043098294369386336,0.022169144345879854,1.0,breast_cancer__native_logistic_regression__438380deafe6,results/tabular/classical/breast_cancer__native_logistic_regression__438380deafe6/run.json
breast_cancer,Random forest,classical_tabular,4,8,114,0.956140350877193,0.9521289997480473,0.9418604651162791,0,0.1940429856692229,0.09328245614035087,1.0,breast_cancer__native_random_forest__a42a202bf624,results/tabular/classical/breast_cancer__native_random_forest__a42a202bf624/run.json
breast_cancer,Random forest,classical_tabular,,341,114,0.9824561403508771,0.981329839502129,0.981329839502129,0,0.072615682022796,0.035180701754385965,1.0,breast_cancer__native_random_forest__751a2e898562,results/tabular/classical/breast_cancer__native_random_forest__751a2e898562/run.json
breast_cancer,Qwen3 4B alone,few_shot,4,8,114,0.8596491228070176,0.858076563958917,0.8873239436619718,0,1.1060433164588868,0.2710693076736418,1.0,breast_cancer__Qwen3-4B-Instruct-2507__cd3baa813fe3,results/tabular/colab/breast_cancer__Qwen3-4B-Instruct-2507__cd3baa813fe3/run.json
breast_cancer,Jev alone,zero_shot,0,0,114,0.8421052631578947,0.8448950829940495,0.8732394366197183,1,0.39840317189816166,0.23605663716814165,0.9912280701754386,breast_cancer__jev-1.13__e30c52b19b9e,results/tabular/hosted/breast_cancer__jev-1.13__e30c52b19b9e/run.json
breast_cancer,Jev alone,few_shot,4,8,114,0.9298245614035088,0.9286656770575623,0.9253193580085162,1,0.16217180449871435,0.09516814159292035,0.9912280701754386,breast_cancer__jev-1.13__3d1cba817d2a,results/tabular/hosted/breast_cancer__jev-1.13__3d1cba817d2a/run.json
breast_cancer,GPT-6 Astra alone,few_shot,4,8,114,0.9824561403508771,0.9811507936507937,0.9767441860465116,0,,,0.0,breast_cancer__gpt-6-astra__6be368014170,results/tabular/hosted/breast_cancer__gpt-6-astra__6be368014170/run.json
wine,Logistic regression,classical_tabular,4,12,36,0.9722222222222222,0.9740129935032483,0.9722222222222222,0,0.1722507631729814,0.06904373030264525,1.0,wine__native_logistic_regression__c517f9ce4b63,results/tabular/classical/wine__native_logistic_regression__c517f9ce4b63/run.json
wine,Logistic regression,classical_tabular,,106,36,0.9722222222222222,0.9717813051146384,0.9761904761904763,0,0.06223956414554212,0.026225125301906793,1.0,wine__native_logistic_regression__0257df1d8b1e,results/tabular/classical/wine__native_logistic_regression__0257df1d8b1e/run.json
wine,Random forest,classical_tabular,4,12,36,0.9444444444444444,0.9474747474747475,0.9444444444444445,0,0.3756182188638316,0.17885277777777778,1.0,wine__native_random_forest__b446bd3c19ff,results/tabular/classical/wine__native_random_forest__b446bd3c19ff/run.json
wine,Random forest,classical_tabular,,106,36,1.0,1.0,1.0,0,0.1264113385311007,0.05022638888888889,1.0,wine__native_random_forest__2c1bd7cfe916,results/tabular/classical/wine__native_random_forest__2c1bd7cfe916/run.json
wine,Qwen3 4B alone,few_shot,4,12,36,0.8055555555555556,0.8087912087912087,0.8214285714285715,0,2.1599128738373157,0.38367941321480536,1.0,wine__Qwen3-4B-Instruct-2507__cea3e01ea8d0,results/tabular/colab/wine__Qwen3-4B-Instruct-2507__cea3e01ea8d0/run.json
wine,Jev alone,zero_shot,0,0,36,0.3333333333333333,0.16666666666666666,0.3333333333333333,0,1.6428121610894566,1.0065277777777777,1.0,wine__jev-1.13__7daebee622e6,results/tabular/hosted/wine__jev-1.13__7daebee622e6/run.json
wine,Jev alone,few_shot,4,12,36,0.9166666666666666,0.9163636363636364,0.9285714285714285,0,0.22114673590465783,0.11175000000000002,1.0,wine__jev-1.13__33047fa693a8,results/tabular/hosted/wine__jev-1.13__33047fa693a8/run.json
wine,GPT-6 Astra alone,few_shot,4,12,36,0.9722222222222222,0.9876543209876543,0.9761904761904763,1,,,0.0,wine__gpt-6-astra__d5c2863bd80f,results/tabular/hosted/wine__gpt-6-astra__d5c2863bd80f/run.json
breast_cancer,LightGBM,classical_numeric_supplement,,341,114,0.9649122807017544,0.9619111259605746,0.9534883720930232,0,0.061917386556463706,0.03446657026667489,1.0,breast_cancer__lightgbm__36bc7b3a8924,results/numeric_decisions/boosting/breast_cancer__lightgbm__36bc7b3a8924/run.json
breast_cancer,LightGBM,classical_numeric_supplement,4,8,114,0.9210526315789473,0.9147486497714998,0.9091057975761545,0,0.2762096562613785,0.1454348814533686,1.0,breast_cancer__lightgbm__faf40cbee821,results/numeric_decisions/boosting/breast_cancer__lightgbm__faf40cbee821/run.json
breast_cancer,XGBoost,classical_numeric_supplement,,341,114,0.9736842105263158,0.9718634306869601,0.9697019325253848,0,0.05560648423519515,0.02957324112660556,1.0,breast_cancer__xgboost__1dd185c019f9,results/numeric_decisions/boosting/breast_cancer__xgboost__1dd185c019f9/run.json
breast_cancer,XGBoost,classical_numeric_supplement,4,8,114,0.8859649122807017,0.8725380579685216,0.8580085162135604,0,0.361616957320983,0.20429684787426855,1.0,breast_cancer__xgboost__9c76aff839d2,results/numeric_decisions/boosting/breast_cancer__xgboost__9c76aff839d2/run.json
wine,LightGBM,classical_numeric_supplement,4,12,36,0.8333333333333334,0.8204555129842487,0.8150793650793652,0,0.5035406328802121,0.27820445925407333,1.0,wine__lightgbm__209e83797064,results/numeric_decisions/boosting/wine__lightgbm__209e83797064/run.json
wine,LightGBM,classical_numeric_supplement,,106,36,0.9444444444444444,0.9381353767560664,0.9333333333333332,0,0.16979218492697495,0.09272787083359829,1.0,wine__lightgbm__af442a516629,results/numeric_decisions/boosting/wine__lightgbm__af442a516629/run.json
wine,XGBoost,classical_numeric_supplement,4,12,36,0.7222222222222222,0.692268305171531,0.692857142857143,0,0.6692962661529336,0.3638727230641237,1.0,wine__xgboost__381b6c451e40,results/numeric_decisions/boosting/wine__xgboost__381b6c451e40/run.json
wine,XGBoost,classical_numeric_supplement,,106,36,0.9444444444444444,0.9409876543209875,0.942857142857143,0,0.19155030146768504,0.11083095176824934,1.0,wine__xgboost__7a9a66463dea,results/numeric_decisions/boosting/wine__xgboost__7a9a66463dea/run.json
breast_cancer,GPT-6 Astra → Jev,cached_label_jev_review,4,8,114,0.9385964912280702,0.9383415435139573,0.9369472649852604,1,0.14572582485398697,0.08256991150442476,0.9912280701754386,breast_cancer__astra__jev-review,results/numeric_decisions/review/breast_cancer__astra__jev-review/run.json
breast_cancer,Qwen3 4B → Jev,cached_label_jev_review,4,8,114,0.9298245614035088,0.9265700483091788,0.9344906649197511,0,0.1631087594715812,0.09453333333333333,1.0,breast_cancer__qwen3_4b__jev-review,results/numeric_decisions/review/breast_cancer__qwen3_4b__jev-review/run.json
wine,GPT-6 Astra → Jev,cached_label_jev_review,4,12,36,0.9444444444444444,0.9584859584859585,0.9523809523809524,1,0.1704390693110266,0.07614857142857141,0.9722222222222222,wine__astra__jev-review,results/numeric_decisions/review/wine__astra__jev-review/run.json
wine,Qwen3 4B → Jev,cached_label_jev_review,4,12,36,0.8888888888888888,0.890746934225195,0.9007936507936508,0,0.23585434424004312,0.13058333333333333,1.0,wine__qwen3_4b__jev-review,results/numeric_decisions/review/wine__qwen3_4b__jev-review/run.json
